rank,folder,slug,upstream_repo,solidity_files,state_variables,total_balance_variables,token_variables,struct_count,enum_count
1,01_nuva,nuva,https://github.com/ProvLabs/nuva-evm-contracts.git,28,92,17,12,3,0
2,02_katana,katana,https://github.com/agglayer/vault-bridge.git,103,374,36,177,15,2
3,03_veda,veda,https://github.com/veda-Labs/boring-vault.git,688,3978,771,860,194,19
4,04_twyne,twyne,https://github.com/0xTwyne/twyne-contracts-v1.git,61,375,102,79,29,1
5,05_felix,felix,https://github.com/felixprotocol/felix-contracts.git,255,1156,287,131,186,25
7,07_enzyme-onyx,enzyme-onyx,https://github.com/enzymefinance/protocol-onyx.git,104,248,40,15,47,4
8,08_immutable,immutable,https://github.com/immutable/zkevm-bridge-contracts.git,110,586,7,205,32,0
9,09_haven1,haven1,https://github.com/haven1network/contracts-core-bug-bounty.git,81,252,19,25,23,7
10,10_usdn,usdn,https://github.com/SmarDex-Ecosystem/usdn-contracts.git,385,663,83,68,80,5
12,12_lombard-finance,lombard-finance,https://github.com/lombard-finance/evm-smart-contracts.git,96,162,15,19,52,12
13,13_kelp-dao,kelp-dao,https://github.com/Kelp-DAO/LRT-rsETH.git,822,1288,114,200,232,25
14,14_flarenetwork,flarenetwork,https://github.com/flare-foundation/flare-smart-contracts-v2.git,223,1221,77,16,155,8
15,15_termstructurelabs,termstructurelabs,https://github.com/term-structure/termmax-contract-v2.git,320,1333,199,159,104,14
17,17_ssvnetwork,ssvnetwork,https://github.com/ssvlabs/ssv-network.git,89,553,58,47,33,2
19,19_thresholdnetwork,thresholdnetwork,https://github.com/threshold-network/solidity-contracts.git,25,69,14,6,7,2
20,20_fluxfinance,fluxfinance,https://github.com/flux-finance/contracts.git,160,668,72,79,53,17
21,21_resonate,resonate,https://github.com/Revest-Finance/ResonateContracts.git,139,377,56,97,27,6
22,22_stellaswap,stellaswap,https://github.com/stellaswap/core.git,34,103,17,6,12,0
23,23_stakewise,stakewise,https://github.com/stakewise/contracts.git,37,79,19,13,4,0
24,24_sherlock,sherlock,https://github.com/sherlock-protocol/sherlock-v2-core.git,79,172,26,29,13,4
25,25_thegraph,thegraph,https://github.com/graphprotocol/contracts.git,503,828,59,77,123,21
26,26_impossiblefinance,impossiblefinance,https://github.com/ImpossibleFinance/launchpad-contracts.git,29,328,58,36,50,14
27,27_ichi,ichi,https://github.com/ichifarm/ichi-oneToken.git,69,88,8,16,9,1
28,28_enzymefinance,enzymefinance,https://github.com/enzymefinance/protocol.git,515,887,187,189,204,40
29,29_charm,charm,https://github.com/charmfinance/alpha-vaults-v2-contracts.git,9,40,6,3,5,0
30,30_starkex,starkex,https://github.com/starkware-libs/starkex-contracts.git,275,1245,39,34,6,1
